ID,English,Persian (fas),Mandarin (cmn),Hindi (hin),Spanish (spa),French (fra),Arabic (ara),Bengali (ben),Portuguese (por),Russian (rus),Urdu (urd),Indonesian (ind),German (deu),Japanese (jpn),Swahili (swa),Marathi (mar),Telugu (tel),Turkish (tur),Korean (kor),Italian (ita)
2682,electronic,الکترونیکی,电子的 (diànzǐ de),इलेक्ट्रॉनिक (ilēkṭrŏnik),electrónico,électronique,إلكتروني (ʾiliktrūnī),ইলেকট্রনিক (ilēkṭrônik),eletrônico,электронный,الیکٹرانک (ilēkṭrānik),elektronik,elektronisch,電子の (denshi no),-a kielektroniki,इलेक्ट्रॉनिक (ilēkṭrŏnika),ఎలక్ట్రానిక్ (elakṭrānik),elektronik,전자의 (jeonja-ui),elettronico
2683,electronically,بطور الکترونیکی,电子地 (diànzǐ de),इलेक्ट्रॉनिक रूप से (ilēkṭrŏnik rūp sē),electrónicamente,électroniquement,إلكترونيا (ʾiliktrūniyyan),ইলেকট্রনিকভাবে (ilēkṭrônikbhābē),eletronicamente,в электронном виде,الیکٹرانک طور پر (ilēkṭrānik taur par),secara elektronik,elektronisch,電子的に (denshi-teki ni),kielektroniki,इलेक्ट्रॉनिकपणे (ilēkṭrŏnikapaṇē),ఎలక్ట్రానిక్‌గా (elakṭrānik‌gā),elektronik olarak,전자적으로 (jeonjajeog-eulo),elettronicamente
2684,electronics,الکترونیک,电子学 (diànzǐxué),इलेक्ट्रॉनिक्स (ilēkṭrŏniks),electrónica,électronique,إلكترونيات (ʾiliktrūniyyāt),ইলেকট্রনিক্স (ilēkṭrôniks),eletrônica,электроника,الیکٹرانکس (ilēkṭrāniks),elektronika,Elektronik,電子工学 (denshi kōgaku),elektroniki,इलेक्ट्रॉनिक्स (ilēkṭrŏniksa),ఎలక్ట్రానిక్స్ (elakṭrāniks),elektronik,전자공학 (jeonjagonghag),elettronica
2685,elegance,ظرافت,优雅 (yōuyǎ),लालित्य (lālitya),elegancia,élégance,أناقة (ʾanāqa),মার্জিত ভাব (mārjitô bhāb),elegância,элегантность,نفاست (nafāsat),keanggunan,Eleganz,優雅 (yūga),urembo,मोहकता (mōhakatā),సొగసు (sogasu),zarafet; şıklık,우아함 (u-aham),eleganza
2686,elegant,ظریف; شیک,优雅的 (yōuyǎ de),सुंदर (sundar),elegante,élégant,أنيق (ʾanīq),মার্জিত (mārjitô),elegante,элегантный,شائستہ (śā'ista),anggun,elegant,優雅な (yūga na),-rembo,सुंदर (sundara),సొగసైన (sogasaina),zarif; şık,우아한 (u-ahan),elegante
2687,elegantly,باشکوه,优雅地 (yōuyǎ de),शान से (śān se),elegantemente,élégamment,بأناقة (bi-ʾanāqa),মার্জিতভাবে (mārjitôbhābē),elegantemente,элегантно,نفاست سے (nafāsat se),dengan anggun,elegant,優雅に (yūga ni),kwa urembo,सुंदरपणे (sundarapaṇē),సొగసుగా (sogasugā),zarif bir şekilde,우아하게 (u-ahage),elegantemente
2688,element,عنصر,元素 (yuánsù),तत्व (tatva),elemento,élément,عنصر (ʿunṣur),উপাদান (upādān),elemento,элемент,عنصر ('unsur),unsur,Element,要素 (yōso),elementi,घटक (ghaṭaka),మూలకం (mūlakaṁ),element; unsur,요소 (yoso),elemento
2689,elemental,اساسی; عنصری,基本的 (jīběn de),मौलिक (maulik),elemental,élémentaire,عنصري (ʿunṣurī),মৌলিক (mōulik),elementar,элементарный,عنصری ('unsurī),elementer,elementar,基本的な (kihonteki na),-a msingi,मूलभूत (mūlabhūta),ప్రాథమిక (prāthamika),temel; elementsel,원소의 (wonso-ui),elementare
2690,elementary,ابتدایی,初级的 (chūjí de),प्रारंभिक (prārambhik),elemental,élémentaire,ابتدائي (ibtidāʾī),প্রাথমিক (prāthômik),elementar,элементарный,ابتدائی (ibtidā'ī),dasar,elementar,初歩的な (shohoteki na),-a msingi,प्राथमिक (prāthamika),ప్రాథమిక (prāthamika),temel; ilköğretim,초급의 (chogeub-ui),elementare
2691,elephant,فیل,象 (xiàng),हाथी (hāthī),elefante,éléphant,فيل (fīl),হাতি (hāti),elefante,слон,ہاتھی (hāthī),gajah,Elefant,象 (zō),tembo,हत्ती (hat'tī),ఏనుగు (ēnugu),fil,코끼리 (kokkili),elefante
2692,elephantine,فیل‌مانند,巨大的 (jùdà de),विशाल (viśāl),elefantino,éléphantesque,فيلي (fīlī),হাতির মতো (hātir môtō),elefantino,слоновий,ہاتھی جیسا (hāthī jaisā),seperti gajah,elefantenhaft,象のような (zō no yōna),-kama tembo,हत्तीसारखा (hat'tīsārakhā),ఏనుగులాంటి (ēnugulāṇṭi),fil gibi; kocaman,코끼리 같은 (kokkili gat-eun),elefantiaco
2693,elevate,بالا بردن,提升 (tíshēng),ऊपर उठाना (ūpar uṭhānā),elevar,élever,يرفع (yarfaʿu),উন্নীত করা (unnītô kora),elevar,поднимать,بلند کرنا (buland karnā),meninggikan,erhöhen,高める (takameru),kuinua,उंचावणे (un̄cāvaṇē),పైకి లేపు (paiki lēpu),yükseltmek,높이다 (nop-ida),elevare
2694,elevation,ارتفاع,海拔 (hǎibá),ऊंचाई (ūn̄cā'ī),elevación,élévation,ارتفاع (irtifāʿ),উচ্চতা (ucchatā),elevação,высота,بلندی (bulandī),ketinggian,Erhebung,標高 (hyōkō),mwinuko,उंची (un̄cī),ఎత్తు (et'tu),yükseklik; irtifa,고도 (godo),elevazione
2695,elevator,آسانسور,电梯 (diàntī),लिफ़्ट (lifṭ),ascensor,ascenseur,مصعد (miṣʿad),এলিভেটর (ēlibhēṭôr),elevador,лифт,لفٹ (lifṭ),lift,Aufzug,エレベーター (erebētā),lifti,लिफ्ट (liphaṭa),ఎలివేటర్ (elivēṭar),asansör,엘리베이터 (ellibeiteo),ascensore
2696,eleven,یازده,十一 (shíyī),ग्यारह (gyārah),once,onze,أحد عشر (ʾaḥada ʿašar),এগারো (ēgārō),onze,одиннадцать,گیارہ (gyārah),sebelas,elf,十一 (jūichi),kumi na moja,अकरा (akarā),పదకొండు (padakoṇḍu),on bir,열하나 (yeolhana),undici
2697,eligible,واجد شرایط,合格的 (hégé de),योग्य (yōgya),elegible,éligible,مؤهل (muʾahhal),যোগ্য (jôgyô),elegível,имеющий право,اہل (ahl),memenuhi syarat,berechtigt,資格のある (shikaku no aru),-enye sifa,पात्र (pātra),అర్హతగల (ar'hatagala),uygun; seçilebilir,자격이 있는 (jagyeog-i issneun),idoneo
2698,eliminate,حذف کردن,消除 (xiāochú),हटाना (haṭānā),eliminar,éliminer,يزيل (yuzīlu),অপসারণ করা (ôpôśārôṇ kora),eliminar,устранять,خارج کرنا (khārij karnā),menghilangkan,eliminieren,排除する (haijo suru),kuondoa,वगळणे (vagaḷaṇē),తొలగించు (tolagin̄cu),elemek; ortadan kaldırmak,제거하다 (jegeohada),eliminare
2699,elite,نخبه,精英 (jīngyīng),अभिजात वर्ग (abhijāt varg),élite,élite,نخبة (nukhba),অভিজাত (ôbhijāt),elite,элита,اشرافیہ (aśrāfiya),elit,Elite,エリート (erīto),bora,उच्चभ्रू (uccabhrū),శ్రేష్ట (śrēṣṭa),elit; seçkinler,엘리트 (elliteu),élite
2700,elitist,نخبه‌گرا,精英主义的 (jīngyīngzhǔyì de),अभिजात्यवादी (abhijātyavādī),elitista,élitiste,نخبوي (nukhbawī),অভিজাত্যবাদী (ôbhijātyôbādī),elitista,элитистский,اشراف پرست (aśrāf parast),elitis,elitär,エリート主義の (erītoshugi no),-a ki-ungwana,उच्चभ्रू (uccabhrū),ఉన్నతవర్గ (unnatavarga),elitist,엘리트주의의 (elliteuju-uiui),elitario
2701,elongate,دراز کردن,拉长 (lācháng),लंबा करना (lambā karnā),alargar,allonger,يطيل (yuṭīlu),লম্বা করা (lômbā kora),alongar,удлинять,لمبا کرنا (lambā karnā),memanjangkan,verlängern,長くする (nagaku suru),kurefusha,लांब करणे (lāmba karaṇē),పొడిగించు (poḍigin̄cu),uzatmak,길게 하다 (gilge hada),allungare
2702,eloquence,فصاحت,口才 (kǒucái),वाक्पटुता (vākpaṭutā),elocuencia,éloquence,فصاحة (faṣāḥa),বাগ্মিতা (bāgmitā),eloquência,красноречие,فصاحت (faṣāḥat),kefasihan,Beredsamkeit,雄弁 (yūben),ufasaha,వ్యాఖ్యానపటిమ (vyākhyānapaṭima),వాక్చాతుర్యం (vākcāturyaṁ),belagat; güzel konuşma,웅변 (ungbyeon),eloquenza
2703,eloquent,فصیح,雄辩的 (xióngbiàn de),सुवक्ता (suvaktā),elocuente,éloquent,فصيح (faṣīḥ),বাগ্মী (bāgmī),eloquente,красноречивый,فصیح (faṣīḥ),fasih,beredt,雄弁な (yūben na),fasaha,వ్యాఖ్యానపటిమగల (vyākhyānapaṭimagala),వాగ్ధాటిగల (vāgdhāṭigala),belagatli; dokunaklı,웅변의 (ungbyeon-ui),eloquente
2704,else,دیگر,别的 (biéde),अन्य (anya),más,autre,آخر (ʾākhar),অন্য (ônyô),mais,ещё,اور (aur),lain,sonst,他に (hoka ni),mwingine,इतर (itara),ఇంకా (iṅkā),başka,다른 (daleun),altro
2705,elsewhere,جای دیگر,在别处 (zài biéchù),कहीं और (kahīṅ aur),en otro lugar,ailleurs,في مكان آخر (fī makān ʾākhar),অন্য কোথাও (ônyô kōthāō),em outro lugar,где-то ещё,کہیں اور (kahī̃ aur),di tempat lain,anderswo,どこか他の場所で (doko ka hoka no basho de),mahali pengine,इतरत्र (itratra),మరెక్కడైనా (marekkaḍainā),başka yerde,다른 곳에 (daleun gos-e),altrove
2706,elude,گریختن از,躲避 (duǒbì),बचना (bacanā),eludir,éluder,يتملص من (yatamallaṣu min),এড়ানো (ēṛānō),iludir,ускользать,بچنا (bacnā),menghindari,sich entziehen,巧みに逃れる (takumi ni nogareru),kukwepa,चुकवणे (cukavaṇē),తప్పించుకొను (tap'pin̄cukonu),kaçmak; sıyrılmak,-에서 벗어나다 (-eseo beos-eonada),eludere
2707,elusive,گریزان,难以捉摸的 (nányǐ zhuōmō de),मायावी (māyāvī),esquivo,insaisissable,مراوغ (murāwiġ), मायावी (māẏābī),esquivo,неуловимый,گریزاں (gurēzā̃),sulit dipahami, मायावी (māyāvī),捉えどころのない (toraedokoro no nai),-a kukwepa,अवघड (avaghaḍa),అంతుచిక్కని (antucik'kani),yakalanması zor; anlaşılmaz,파악하기 어려운 (pa-aghagi eolyeoun),sfuggente
2708,email,ایمیل,电子邮件 (diànzǐ yóujiàn),ईमेल (īmēl),correo electrónico,e-mail,بريد إلكتروني (barīd ʾiliktrūnī),ইমেল (imēl),e-mail,электронная почта,ای میل (ī mēl),email,E-Mail,Eメール (īmēru),barua pepe,ई-मेल (ī-mēl),ఇమెయిల్ (imeyil),e-posta,이메일 (imeil),e-mail
2709,email/e-mail/E-mail,ایمیل,电子邮件 (diànzǐ yóujiàn),ईमेल (īmēl),correo electrónico,e-mail,بريد إلكتروني (barīd ʾiliktrūnī),ইমেল (imēl),e-mail,электронная почта,ای میل (ī mēl),email,E-Mail,Eメール (īmēru),barua pepe,ई-मेल (ī-mēl),ఇమెయిల్ (imeyil),e-posta,이메일 (imeil),e-mail
2710,embark,سوار شدن,上船 (shàngchuán),सवार होना (savār hōnā),embarcar,embarquer,يركب (yarkabu),আরোহণ করা (ārōhôn kora),embarcar,садиться на корабль,سوار ہونا (sawār honā),memulai,einschiffen,乗り出す (noridasu),kupanda,प्रवास सुरू करणे (pravāsa surū karaṇē),ప్రయాణం మొదలుపెట్టు (prayāṇaṁ modalapeṭṭu),gemiye binmek; başlamak,탑승하다 (tabseunghada),imbarcarsi
2711,embarrass,خجالت‌زده کردن,使尴尬 (shǐ gāngà),शर्मिंदा करना (śarmindā karnā),avergonzar,embarrasser,يحرج (yuḥriju),অস্বস্তিতে ফেলা (ôśbôstitē phēlā),envergonhar,смущать,شرمندہ کرنا (śarminda karnā),memalukan,in Verlegenheit bringen,恥ずかしい思いをさせる (hazukashii omoi o saseru),kuaibisha,लज्जित करणे (laj'jita karaṇē),ఇబ్బంది పెట్టు (ib'bandi peṭṭu),utandırmak,당황하게 만들다 (danghwanghage mandeulda),mettere in imbarazzo
2712,embarrassed,خجالت‌زده,尴尬的 (gāngà de),शर्मिंदा (śarmindā),avergonzado,embarrassé,محرج (muḥraj),অস্বস্তিতে (ôśbôstitē),envergonhado,смущённый,شرمندہ (śarminda),malu,verlegen,恥ずかしい (hazukashii),-liyoaibika,लज्जित (laj'jita),ఇబ్బంది పడిన (ib'bandi paḍina),utanmış,당황한 (danghwanghan),imbarazzato
2713,embarrassing,خجالت‌آور,令人尴尬的 (lìngrén gāngà de),शर्मनाक (śarmanāk),vergonzoso,embarrassant,محرج (muḥrij),বিব্রতকর (bibrôtôkôr),embaraçoso,неловкий,شرمناک (śarmnāk),memalukan,peinlich,恥ずかしい (hazukashii),-a kuaibisha,लज्जास्पद (laj'jāspada),ఇబ్బందికరమైన (ib'bandikaramaina),utanç verici,당황스러운 (danghwangseuleoun),imbarazzante
2714,embarrassment,خجالت,尴尬 (gāngà),शर्मिंदगी (śarmindagī),vergüenza,embarras,إحراج (ʾiḥrāj),বিব্রত অবস্থা (bibrôtô ôbôsthā),embaraço,смущение,شرمندگی (śarmindagī),rasa malu,Verlegenheit,恥ずかしさ (hazukashisa),aibu,लज्जा (laj'jā),ఇబ్బంది (ib'bandi),utanç,당황 (danghwang),imbarazzo
2715,embassy,سفارت,大使馆 (dàshǐguǎn),दूतावास (dūtāvās),embajada,ambassade,سفارة (sifāra),দূতাবাস (dūtābās),embaixada,посольство,سفارت خانہ (sifārat khāna),kedutaan besar,Botschaft,大使館 (taishikan),ubalozi,दूतावास (dūtāvāsa),రాయబార కార్యాలయం (rāyabāra kāryālayaṁ),büyükelçilik,대사관 (daesagwan),ambasciata
2716,embed,جاسازی کردن,嵌入 (qiànrù),जड़ना (jaṛanā),incrustar,intégrer,يدمج (yudmiju),প্রোথিত করা (prōthitô kora),embutir,встраивать,جڑنا (jaṛnā),menyematkan,einbetten,埋め込む (umekomu),kupachika,आत घालणे (āta ghālaṇē),పొందుపరచు (ponduparacu),gömmek; yerleştirmek,끼워 넣다 (kkiwo neohda),incorporare
2717,embodiment,تجسم,化身 (huàshēn),अवतार (avatār),personificación,incarnation,تجسيد (tajsīd),মূর্ত প্রতীক (mūrtô prôtīk),personificação,воплощение,مجسمہ (mujassama),perwujudan,Verkörperung,具現 (gugen),mfano halisi,अवतार (avatāra),మూర్తీభవించిన రూపం (mūrtībhavin̄cina rūpaṁ),simge; somut örnek,화신 (hwasin),incarnazione
2718,embody,مجسم کردن,体现 (tǐxiàn),मूर्तिमान करना (mūrtimān karnā),encarnar,incarner,يجسد (yujassidu),মূর্ত করা (mūrtô kora),personificar,воплощать,مجسم کرنا (mujassam karnā),mewujudkan,verkörpern,具現する (gugen suru),kujumuisha, मूर्त स्वरूप देणे (mūrta svarūpa dēṇē),మూర్తీభవించు (mūrtībhavin̄cu),somutlaştırmak; bünyesinde barındırmak,구현하다 (guhyeonhada),incarnare
